NGO_name,location,needed_quantity,food_type,contact
Charity_1,Cairo,374,Dairy,+20-1482079907
Charity_2,Upper Egypt,255,Vegetables,+20-1798343956
Charity_3,Mansoura,477,Bakery,+20-1710401558
Charity_4,Mansoura,124,Meat,+20-1668093326
Charity_5,Giza,373,Fruits,+20-1633187276
Charity_6,Delta,459,Meat,+20-1900748674
Charity_7,Cairo,55,Fruits,+20-1710640269
Charity_8,Giza,121,Fruits,+20-1628577993
Charity_9,Giza,439,Vegetables,+20-1691919737
Charity_10,Upper Egypt,283,Meat,+20-1855333554
Charity_11,Giza,130,Vegetables,+20-1132755072
Charity_12,Cairo,380,Dairy,+20-1387044869
Charity_13,Delta,223,Bakery,+20-1629725989
Charity_14,Upper Egypt,115,Fruits,+20-1964428168
Charity_15,Giza,334,Dairy,+20-1231100258
Charity_16,Giza,362,Fruits,+20-1194889047
Charity_17,Alexandria,221,Vegetables,+20-1870107397
Charity_18,Cairo,219,Bakery,+20-1962044760
Charity_19,Upper Egypt,61,Vegetables,+20-1778338775
Charity_20,Delta,254,Meat,+20-1965450537
Charity_21,Mansoura,72,Fruits,+20-1693154395
Charity_22,Cairo,138,Vegetables,+20-1381478637
Charity_23,Cairo,264,Fruits,+20-1422590594
Charity_24,Mansoura,184,Dairy,+20-1963979514
Charity_25,Mansoura,404,Bakery,+20-1466216173
Charity_26,Cairo,417,Bakery,+20-1125011506
Charity_27,Alexandria,495,Meat,+20-1781358254
Charity_28,Delta,423,Bakery,+20-1642303462
Charity_29,Alexandria,273,Dairy,+20-1838531118
Charity_30,Alexandria,154,Meat,+20-1200683004
Charity_31,Mansoura,218,Fruits,+20-1563228518
Charity_32,Giza,162,Bakery,+20-1700075651
Charity_33,Mansoura,321,Bakery,+20-1648091959
Charity_34,Mansoura,422,Dairy,+20-1473226993
Charity_35,Mansoura,406,Bakery,+20-1769413951
Charity_36,Giza,87,Vegetables,+20-1518064414
Charity_37,Upper Egypt,76,Dairy,+20-1794876670
Charity_38,Giza,120,Bakery,+20-1124728380
Charity_39,Cairo,100,Vegetables,+20-1697013957
Charity_40,Mansoura,54,Fruits,+20-1617537545
Charity_41,Delta,191,Dairy,+20-1185514406
Charity_42,Delta,365,Meat,+20-1330123335
Charity_43,Delta,58,Vegetables,+20-1453552017
Charity_44,Cairo,439,Fruits,+20-1659478974
Charity_45,Delta,458,Fruits,+20-1883673320
Charity_46,Giza,336,Vegetables,+20-1871223779
Charity_47,Delta,198,Fruits,+20-1178831808
Charity_48,Delta,414,Meat,+20-1378760003
Charity_49,Mansoura,464,Bakery,+20-1884987950
Charity_50,Cairo,235,Vegetables,+20-1430310347
Charity_51,Mansoura,115,Bakery,+20-1357019953
Charity_52,Delta,233,Meat,+20-1889647519
Charity_53,Mansoura,292,Vegetables,+20-1786770338
Charity_54,Cairo,469,Bakery,+20-1455817797
Charity_55,Upper Egypt,163,Vegetables,+20-1805993817
Charity_56,Upper Egypt,251,Dairy,+20-1108403679
Charity_57,Delta,180,Bakery,+20-1915119497
Charity_58,Delta,256,Bakery,+20-1903389382
Charity_59,Mansoura,477,Fruits,+20-1508019579
Charity_60,Upper Egypt,388,Vegetables,+20-1736730173
Charity_61,Giza,238,Bakery,+20-1812481064
Charity_62,Giza,496,Vegetables,+20-1664291201
Charity_63,Giza,417,Bakery,+20-1101729162
Charity_64,Cairo,319,Vegetables,+20-1265638001
Charity_65,Giza,241,Vegetables,+20-1144811985
Charity_66,Mansoura,311,Bakery,+20-1468130294
Charity_67,Mansoura,324,Fruits,+20-1831764020
Charity_68,Mansoura,298,Dairy,+20-1786269852
Charity_69,Mansoura,307,Meat,+20-1755854223
Charity_70,Mansoura,192,Fruits,+20-1960829732
Charity_71,Delta,162,Dairy,+20-1388622680
Charity_72,Upper Egypt,193,Bakery,+20-1449453338
Charity_73,Delta,293,Fruits,+20-1257366852
Charity_74,Cairo,168,Fruits,+20-1783091325
Charity_75,Giza,91,Dairy,+20-1446149901
Charity_76,Alexandria,400,Fruits,+20-1743923268
Charity_77,Upper Egypt,131,Bakery,+20-1851640984
Charity_78,Delta,300,Fruits,+20-1677081516
Charity_79,Upper Egypt,284,Fruits,+20-1193400066
Charity_80,Upper Egypt,82,Fruits,+20-1665393090
Charity_81,Mansoura,400,Vegetables,+20-1560143854
Charity_82,Mansoura,215,Meat,+20-1903364932
Charity_83,Upper Egypt,110,Bakery,+20-1764451451
Charity_84,Mansoura,267,Fruits,+20-1459322523
Charity_85,Giza,187,Bakery,+20-1536217455
Charity_86,Alexandria,453,Fruits,+20-1177246574
Charity_87,Alexandria,448,Dairy,+20-1433590651
Charity_88,Cairo,363,Dairy,+20-1573090340
Charity_89,Delta,356,Dairy,+20-1355102635
Charity_90,Upper Egypt,54,Meat,+20-1707442086
Charity_91,Giza,229,Bakery,+20-1978510324
Charity_92,Giza,81,Meat,+20-1525204529
Charity_93,Giza,478,Meat,+20-1192193071
Charity_94,Upper Egypt,217,Bakery,+20-1610456846
Charity_95,Upper Egypt,377,Vegetables,+20-1285276246
Charity_96,Alexandria,124,Vegetables,+20-1662990246
Charity_97,Alexandria,438,Bakery,+20-1950274999
Charity_98,Upper Egypt,160,Fruits,+20-1929243703
Charity_99,Upper Egypt,357,Vegetables,+20-1614963740
Charity_100,Mansoura,260,Bakery,+20-1152419938
Charity_101,Delta,371,Bakery,+20-1922800018
Charity_102,Alexandria,273,Meat,+20-1188919422
Charity_103,Upper Egypt,497,Bakery,+20-1136062760
Charity_104,Alexandria,54,Vegetables,+20-1311027924
Charity_105,Alexandria,333,Meat,+20-1177298097
Charity_106,Alexandria,495,Vegetables,+20-1570979210
