type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount
Meat,62,Wedding,300,Refrigerated,Regular,All Seasons,Plated,Upper Egypt,High,16
Bakery,266,Corporate,80,Refrigerated,Regular,Winter,Plated,Delta,Low,76
Vegetables,416,Festival,275,Room Temperature,Occasional,All Seasons,Buffet,Upper Egypt,Moderate,48
Fruits,129,Birthday,394,Refrigerated,Regular,Spring,Buffet,Alexandria,Moderate,82
Fruits,463,Corporate,520,Frozen,Regular,Spring,Buffet,Delta,Moderate,85
Bakery,491,Wedding,246,Frozen,Regular,All Seasons,Plated,Giza,Moderate,15
Vegetables,493,Corporate,439,Room Temperature,Occasional,Summer,Buffet,Alexandria,Moderate,31
Fruits,409,Corporate,225,Frozen,Regular,Winter,Finger Food,Mansoura,Moderate,86
Bakery,162,Wedding,107,Refrigerated,Regular,Summer,Finger Food,Alexandria,Low,32
Bakery,498,Wedding,267,Frozen,Occasional,Spring,Plated,Mansoura,Low,38
Vegetables,176,Wedding,488,Frozen,Occasional,Summer,Buffet,Giza,High,68
Meat,436,Corporate,162,Refrigerated,Regular,Spring,Plated,Cairo,Moderate,53
Bakery,289,Wedding,61,Frozen,Regular,Autumn,Finger Food,Upper Egypt,Moderate,19
Fruits,272,Birthday,514,Refrigerated,Occasional,Autumn,Buffet,Delta,Low,85
Fruits,480,Birthday,206,Room Temperature,Regular,Autumn,Plated,Cairo,High,46
Dairy,59,Corporate,421,Room Temperature,Regular,All Seasons,Buffet,Delta,Low,15
Dairy,467,Corporate,595,Refrigerated,Regular,Spring,Plated,Giza,Moderate,72
Bakery,266,Birthday,255,Frozen,Occasional,Spring,Plated,Upper Egypt,Moderate,61
Bakery,281,Corporate,303,Refrigerated,Regular,Summer,Buffet,Delta,High,34
Bakery,162,Corporate,122,Frozen,Regular,Winter,Buffet,Cairo,Moderate,14
Bakery,171,Wedding,547,Refrigerated,Regular,Autumn,Plated,Mansoura,Low,65
Dairy,147,Corporate,149,Frozen,Occasional,Summer,Finger Food,Mansoura,Moderate,98
Meat,394,Corporate,112,Room Temperature,Occasional,All Seasons,Buffet,Giza,Low,73
Dairy,121,Festival,237,Room Temperature,Occasional,Winter,Buffet,Mansoura,High,17
Meat,383,Corporate,145,Refrigerated,Regular,Spring,Finger Food,Mansoura,Low,56
Meat,134,Festival,52,Room Temperature,Occasional,Spring,Finger Food,Mansoura,High,98
Bakery,388,Festival,208,Refrigerated,Occasional,Winter,Buffet,Delta,High,74
Meat,432,Wedding,108,Refrigerated,Occasional,Autumn,Plated,Giza,Low,70
Meat,485,Birthday,120,Frozen,Regular,Winter,Finger Food,Cairo,High,36
Bakery,354,Corporate,133,Room Temperature,Occasional,Summer,Buffet,Upper Egypt,High,45
Vegetables,185,Festival,184,Frozen,Occasional,Spring,Finger Food,Cairo,Low,63
Bakery,338,Corporate,125,Frozen,Regular,Autumn,Finger Food,Giza,Moderate,13
Vegetables,239,Wedding,211,Room Temperature,Occasional,Autumn,Plated,Delta,Low,90
Bakery,203,Corporate,187,Room Temperature,Regular,All Seasons,Plated,Delta,Low,39
Fruits,359,Birthday,401,Refrigerated,Occasional,Autumn,Finger Food,Alexandria,Low,16
Dairy,474,Wedding,95,Refrigerated,Occasional,Winter,Plated,Alexandria,Low,99
Dairy,332,Festival,59,Refrigerated,Regular,Winter,Plated,Cairo,Moderate,79
Bakery,125,Festival,180,Refrigerated,Occasional,Summer,Buffet,Alexandria,Low,92
Vegetables,391,Corporate,412,Frozen,Occasional,Autumn,Plated,Giza,Low,25
Vegetables,261,Corporate,233,Frozen,Occasional,Spring,Plated,Upper Egypt,Low,39
Vegetables,453,Corporate,441,Refrigerated,Occasional,Winter,Buffet,Mansoura,Moderate,44
Vegetables,164,Corporate,247,Room Temperature,Occasional,Summer,Buffet,Alexandria,Moderate,87
Bakery,254,Wedding,78,Refrigerated,Occasional,Winter,Plated,Alexandria,Low,18
Bakery,272,Wedding,371,Room Temperature,Regular,Spring,Plated,Giza,Moderate,10
Dairy,50,Birthday,422,Room Temperature,Regular,Summer,Plated,Alexandria,High,20
Fruits,309,Wedding,468,Room Temperature,Occasional,Summer,Plated,Giza,Low,58
Dairy,396,Birthday,358,Room Temperature,Regular,Summer,Finger Food,Giza,Moderate,79
Bakery,385,Wedding,526,Room Temperature,Occasional,Winter,Plated,Mansoura,High,26
Meat,195,Wedding,145,Refrigerated,Occasional,Winter,Buffet,Giza,Low,10
Vegetables,293,Corporate,516,Room Temperature,Regular,Spring,Finger Food,Mansoura,Low,23
Meat,434,Corporate,485,Refrigerated,Regular,Autumn,Finger Food,Cairo,High,36
Meat,283,Birthday,525,Frozen,Occasional,Spring,Plated,Upper Egypt,High,59
Bakery,278,Birthday,536,Room Temperature,Occasional,Winter,Plated,Alexandria,High,67
Vegetables,190,Festival,129,Frozen,Occasional,Winter,Finger Food,Alexandria,Moderate,74
Meat,120,Birthday,286,Room Temperature,Regular,Winter,Buffet,Mansoura,Moderate,47
Bakery,288,Festival,113,Refrigerated,Occasional,Spring,Plated,Upper Egypt,Low,78
Dairy,294,Corporate,410,Room Temperature,Occasional,Spring,Plated,Upper Egypt,High,74
Bakery,162,Festival,274,Room Temperature,Occasional,Spring,Buffet,Mansoura,Moderate,90
Dairy,420,Birthday,528,Refrigerated,Regular,Spring,Plated,Delta,High,8
Meat,379,Festival,188,Room Temperature,Regular,All Seasons,Finger Food,Mansoura,Moderate,32
Dairy,217,Wedding,438,Room Temperature,Occasional,Summer,Buffet,Mansoura,Low,100
Bakery,76,Wedding,279,Frozen,Regular,All Seasons,Buffet,Giza,Low,7
Bakery,128,Birthday,179,Room Temperature,Regular,Autumn,Buffet,Mansoura,High,37
Fruits,135,Corporate,217,Room Temperature,Regular,Autumn,Buffet,Alexandria,High,91
Dairy,253,Birthday,127,Frozen,Regular,All Seasons,Plated,Alexandria,High,81
Meat,457,Corporate,405,Frozen,Occasional,Summer,Buffet,Delta,High,48
Meat,484,Festival,551,Refrigerated,Occasional,Summer,Plated,Mansoura,High,24
Dairy,140,Wedding,545,Room Temperature,Occasional,Autumn,Finger Food,Alexandria,Low,16
Fruits,280,Birthday,525,Frozen,Occasional,Summer,Buffet,Mansoura,Moderate,28
Dairy,158,Wedding,314,Room Temperature,Occasional,Autumn,Plated,Alexandria,High,6
Bakery,147,Corporate,297,Frozen,Occasional,Spring,Plated,Giza,High,65
Dairy,279,Corporate,145,Room Temperature,Regular,Spring,Plated,Giza,Moderate,89
Bakery,238,Festival,593,Room Temperature,Occasional,Autumn,Finger Food,Alexandria,High,63
Fruits,206,Wedding,286,Refrigerated,Regular,Summer,Buffet,Upper Egypt,High,93
Vegetables,148,Birthday,545,Room Temperature,Occasional,All Seasons,Buffet,Alexandria,Low,51
Vegetables,204,Corporate,596,Refrigerated,Occasional,All Seasons,Buffet,Delta,Moderate,94
Vegetables,376,Festival,155,Refrigerated,Occasional,Spring,Finger Food,Mansoura,Moderate,28
Meat,179,Festival,166,Refrigerated,Occasional,Spring,Buffet,Delta,High,92
Meat,127,Birthday,361,Refrigerated,Regular,All Seasons,Plated,Mansoura,High,81
Bakery,165,Festival,511,Room Temperature,Occasional,Autumn,Finger Food,Alexandria,High,84
Meat,362,Corporate,262,Frozen,Regular,Summer,Plated,Cairo,Low,35
Vegetables,332,Corporate,210,Refrigerated,Occasional,Spring,Plated,Delta,Moderate,42
Meat,168,Wedding,339,Frozen,Occasional,All Seasons,Plated,Giza,Moderate,85
Bakery,388,Birthday,485,Refrigerated,Regular,Winter,Finger Food,Giza,Low,12
Vegetables,455,Wedding,345,Room Temperature,Regular,Spring,Plated,Alexandria,High,56
Fruits,306,Festival,498,Refrigerated,Regular,Spring,Plated,Alexandria,High,37
Meat,96,Birthday,71,Frozen,Occasional,Autumn,Buffet,Giza,Moderate,71
Dairy,192,Birthday,496,Frozen,Occasional,All Seasons,Finger Food,Alexandria,Moderate,47
Fruits,393,Corporate,214,Room Temperature,Occasional,Spring,Finger Food,Upper Egypt,Moderate,75
Meat,282,Corporate,372,Room Temperature,Occasional,All Seasons,Finger Food,Delta,Low,89
Bakery,286,Festival,105,Refrigerated,Occasional,Autumn,Finger Food,Upper Egypt,Moderate,11
Vegetables,186,Birthday,344,Room Temperature,Occasional,All Seasons,Buffet,Upper Egypt,High,35
Vegetables,209,Corporate,467,Refrigerated,Regular,All Seasons,Finger Food,Cairo,High,24
Dairy,416,Wedding,571,Frozen,Occasional,Spring,Finger Food,Mansoura,Low,63
Bakery,124,Festival,245,Frozen,Regular,All Seasons,Finger Food,Mansoura,Moderate,69
Fruits,470,Corporate,339,Frozen,Occasional,Autumn,Plated,Upper Egypt,Moderate,24
Dairy,325,Festival,403,Room Temperature,Occasional,Spring,Finger Food,Giza,High,35
Bakery,246,Birthday,470,Refrigerated,Occasional,Spring,Plated,Mansoura,Moderate,89
Vegetables,303,Corporate,179,Frozen,Occasional,All Seasons,Finger Food,Cairo,High,63
Meat,419,Birthday,469,Frozen,Regular,All Seasons,Finger Food,Alexandria,Moderate,84
Dairy,382,Corporate,386,Frozen,Occasional,Summer,Plated,Upper Egypt,Moderate,74
Meat,366,Corporate,290,Frozen,Occasional,Winter,Plated,Cairo,Moderate,17
Meat,277,Birthday,356,Refrigerated,Regular,Summer,Buffet,Alexandria,Moderate,52
Dairy,124,Birthday,593,Room Temperature,Regular,Winter,Buffet,Cairo,High,53
Bakery,399,Birthday,559,Frozen,Regular,Winter,Finger Food,Upper Egypt,Moderate,63
Fruits,391,Corporate,526,Room Temperature,Regular,All Seasons,Finger Food,Alexandria,High,43
Dairy,403,Wedding,517,Room Temperature,Regular,Spring,Finger Food,Cairo,Low,53
Bakery,233,Wedding,352,Refrigerated,Occasional,Summer,Buffet,Delta,High,100
Meat,360,Festival,343,Refrigerated,Occasional,Winter,Plated,Giza,High,37
Vegetables,371,Corporate,90,Room Temperature,Occasional,All Seasons,Plated,Alexandria,High,21
Meat,201,Wedding,475,Refrigerated,Regular,Winter,Plated,Alexandria,High,69
Fruits,475,Birthday,313,Room Temperature,Occasional,Summer,Buffet,Mansoura,Low,23
Vegetables,490,Festival,424,Refrigerated,Occasional,All Seasons,Finger Food,Delta,Low,63
Fruits,394,Wedding,440,Frozen,Occasional,All Seasons,Plated,Giza,Moderate,8
Bakery,337,Wedding,276,Frozen,Regular,Spring,Plated,Alexandria,High,57
Meat,121,Corporate,88,Room Temperature,Occasional,All Seasons,Buffet,Giza,High,22
Dairy,282,Wedding,479,Frozen,Regular,Spring,Plated,Cairo,Moderate,83
Dairy,193,Corporate,429,Refrigerated,Occasional,Spring,Buffet,Alexandria,Low,92
Fruits,328,Wedding,112,Room Temperature,Occasional,Winter,Buffet,Mansoura,Low,89
Vegetables,378,Corporate,101,Room Temperature,Regular,Winter,Plated,Giza,Low,75
Vegetables,350,Birthday,288,Room Temperature,Regular,Autumn,Buffet,Alexandria,Low,21
Bakery,178,Birthday,162,Frozen,Regular,Winter,Buffet,Alexandria,Low,80
Fruits,58,Birthday,321,Refrigerated,Regular,Spring,Plated,Cairo,High,13
Dairy,279,Wedding,575,Frozen,Regular,Spring,Plated,Giza,High,10
Bakery,204,Festival,81,Refrigerated,Occasional,Spring,Finger Food,Upper Egypt,Low,67
Dairy,87,Corporate,379,Frozen,Regular,All Seasons,Buffet,Alexandria,High,86
Bakery,330,Wedding,440,Frozen,Occasional,Spring,Plated,Delta,Moderate,17
Meat,486,Birthday,490,Room Temperature,Regular,Spring,Finger Food,Mansoura,Moderate,58
Meat,210,Festival,370,Frozen,Occasional,Summer,Buffet,Upper Egypt,Moderate,13
Meat,475,Corporate,145,Room Temperature,Regular,Summer,Buffet,Delta,Low,80
Bakery,337,Wedding,175,Room Temperature,Occasional,Spring,Plated,Cairo,Moderate,81
Fruits,230,Corporate,569,Refrigerated,Regular,Spring,Buffet,Cairo,Moderate,76
Fruits,108,Wedding,281,Room Temperature,Regular,Autumn,Plated,Upper Egypt,Moderate,8
Vegetables,189,Wedding,397,Room Temperature,Regular,Winter,Buffet,Delta,High,56
Meat,122,Corporate,143,Frozen,Regular,Spring,Finger Food,Mansoura,Moderate,25
Fruits,209,Wedding,136,Refrigerated,Regular,Winter,Plated,Cairo,High,15
Fruits,276,Festival,547,Frozen,Occasional,Spring,Finger Food,Giza,High,19
Fruits,270,Corporate,340,Frozen,Occasional,Autumn,Plated,Alexandria,Low,33
